epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3845,1.46361,1.7175,0.99199,0.03686,0.19901,0.01361,0.00466,nan,nan,nan,0.000545564,0.000545564,0.000545564
2,80.24,1.58314,1.20344,1.03663,0.00462,0.05349,0.00089,0.00039,nan,nan,nan,0.00109578,0.00109578,0.00109578
3,113.944,1.60135,1.21153,1.04469,0.00799,0.01206,0.00133,0.00047,nan,nan,nan,0.00164049,0.00164049,0.00164049
4,149.181,1.50738,1.10598,1.02529,0.34022,0.37661,0.24302,0.09358,2.07077,6.90433,1.26795,0.00164225,0.00164225,0.00164225
5,189.729,1.48291,1.06148,1.01075,0.7898,0.70687,0.74704,0.36617,1.62237,1.23387,1.11461,0.00163399,0.00163399,0.00163399
6,228.768,1.42334,0.99172,0.99678,0.6326,0.62389,0.60217,0.28241,1.58954,1.83573,1.07629,0.00162574,0.00162574,0.00162574
7,270.893,1.37898,0.96279,0.97135,0.7733,0.79533,0.80777,0.43847,1.45432,1.10968,1.0553,0.00161749,0.00161749,0.00161749
8,313.021,1.3484,0.94139,0.97281,0.81455,0.83518,0.85441,0.47965,1.31092,1.09463,0.99163,0.00160924,0.00160924,0.00160924
9,357.997,1.31471,0.90672,0.9538,0.861,0.83863,0.87615,0.52091,1.32084,0.93872,0.98878,0.00160099,0.00160099,0.00160099
10,398.771,1.30887,0.90605,0.96085,0.70944,0.6929,0.63712,0.30572,1.55374,1.41432,1.03114,0.00159274,0.00159274,0.00159274
11,437.784,1.29289,0.88069,0.94719,0.90416,0.82588,0.88124,0.51029,1.37484,0.96873,0.98909,0.00158448,0.00158448,0.00158448
12,478.97,1.28245,0.88366,0.94735,0.85403,0.77332,0.80945,0.46436,1.35524,1.035,0.98795,0.00157623,0.00157623,0.00157623
13,519.974,1.25621,0.86756,0.94437,0.87484,0.88005,0.89973,0.55038,1.26469,0.88123,0.96505,0.00156798,0.00156798,0.00156798
14,561.345,1.26343,0.87488,0.94328,0.85226,0.87499,0.87251,0.5046,1.27738,0.91267,0.95643,0.00155973,0.00155973,0.00155973
15,604.262,1.23767,0.83885,0.93467,0.89819,0.87796,0.9036,0.57834,1.1599,0.84175,0.93597,0.00155148,0.00155148,0.00155148
16,642.14,1.24181,0.84469,0.9304,0.8455,0.86949,0.88962,0.54514,1.23053,0.89581,0.94671,0.00154323,0.00154323,0.00154323
17,684.177,1.21417,0.83205,0.92567,0.88248,0.90291,0.8977,0.55965,1.21314,0.83138,0.94331,0.00153497,0.00153497,0.00153497
18,725.98,1.21649,0.81714,0.92834,0.89765,0.89472,0.92617,0.55899,1.23576,0.84387,0.9436,0.00152672,0.00152672,0.00152672
19,771.039,1.20195,0.80671,0.92414,0.87739,0.85577,0.88288,0.56261,1.18587,0.85617,0.9381,0.00151847,0.00151847,0.00151847
20,810.695,1.21506,0.81598,0.92928,0.90824,0.9159,0.92703,0.59364,1.13408,0.80769,0.92289,0.00151022,0.00151022,0.00151022
21,851.304,1.19261,0.80223,0.92394,0.8773,0.83357,0.89756,0.57069,1.23135,0.88308,0.958,0.00150197,0.00150197,0.00150197
22,899.783,1.17863,0.80878,0.9218,0.90451,0.86221,0.90244,0.53681,1.32763,0.91364,0.96321,0.00149372,0.00149372,0.00149372
23,944.621,1.20233,0.7825,0.91781,0.89404,0.92262,0.92419,0.595,1.1426,0.78412,0.92701,0.00148546,0.00148546,0.00148546
24,984.689,1.18871,0.7895,0.92508,0.88953,0.9094,0.92433,0.59445,1.14917,0.8007,0.92857,0.00147721,0.00147721,0.00147721
25,1024.47,1.15879,0.77194,0.91078,0.90606,0.91588,0.92834,0.58637,1.18589,0.79883,0.93321,0.00146896,0.00146896,0.00146896
26,1066.28,1.16847,0.77852,0.91896,0.89879,0.89692,0.93019,0.608,1.11278,0.77635,0.91919,0.00146071,0.00146071,0.00146071
27,1108.53,1.16504,0.78226,0.91109,0.90415,0.91158,0.92921,0.61485,1.10343,0.77585,0.91438,0.00145246,0.00145246,0.00145246
28,1152.77,1.16331,0.77598,0.91075,0.91234,0.90111,0.92697,0.60157,1.11262,0.75027,0.91548,0.00144421,0.00144421,0.00144421
29,1194.27,1.13664,0.75634,0.90121,0.90052,0.90893,0.92299,0.60447,1.09463,0.76952,0.90913,0.00143595,0.00143595,0.00143595
30,1232.58,1.14154,0.7661,0.90955,0.90863,0.92502,0.94577,0.62208,1.11195,0.76496,0.91029,0.0014277,0.0014277,0.0014277
31,1274.72,1.14521,0.74582,0.90155,0.90078,0.91267,0.92331,0.59849,1.14267,0.75659,0.92699,0.00141945,0.00141945,0.00141945
32,1316.6,1.13183,0.74561,0.90752,0.91799,0.90998,0.9341,0.61599,1.11318,0.77005,0.9117,0.0014112,0.0014112,0.0014112
33,1358.93,1.13627,0.7397,0.90586,0.91297,0.9109,0.93878,0.59576,1.17584,0.77327,0.92945,0.00140295,0.00140295,0.00140295
34,1402.31,1.13492,0.7507,0.90403,0.92062,0.90557,0.93402,0.59476,1.20787,0.76851,0.9226,0.0013947,0.0013947,0.0013947
35,1439.58,1.14196,0.72706,0.9003,0.89953,0.92881,0.92993,0.60722,1.11661,0.75121,0.91625,0.00138644,0.00138644,0.00138644
36,1482.21,1.11442,0.72768,0.902,0.86756,0.9013,0.9221,0.58549,1.12605,0.75951,0.91445,0.00137819,0.00137819,0.00137819
37,1524.15,1.11245,0.72251,0.89937,0.92121,0.90294,0.92912,0.60811,1.11663,0.73765,0.92028,0.00136994,0.00136994,0.00136994
38,1566.01,1.11372,0.72447,0.89716,0.9146,0.91594,0.93105,0.61938,1.0971,0.74585,0.9072,0.00136169,0.00136169,0.00136169
39,1609.84,1.11825,0.72873,0.9025,0.90652,0.89821,0.90407,0.57741,1.12075,0.78004,0.90914,0.00135344,0.00135344,0.00135344
40,1649.91,1.12553,0.74541,0.90685,0.91593,0.91553,0.92759,0.61078,1.09658,0.73238,0.90774,0.00134519,0.00134519,0.00134519
41,1693.44,1.11084,0.71723,0.90304,0.91232,0.91107,0.93142,0.60671,1.13439,0.74453,0.9212,0.00133693,0.00133693,0.00133693
42,1735.04,1.10848,0.7067,0.89967,0.91306,0.91239,0.92283,0.61535,1.10469,0.72539,0.90747,0.00132868,0.00132868,0.00132868
43,1778.66,1.10972,0.73283,0.89908,0.91701,0.91483,0.93296,0.58424,1.18766,0.77695,0.92307,0.00132043,0.00132043,0.00132043
44,1821.97,1.08589,0.71074,0.90072,0.92356,0.93154,0.94175,0.61614,1.09686,0.73208,0.90749,0.00131218,0.00131218,0.00131218
45,1863.85,1.09513,0.70418,0.88886,0.89012,0.91621,0.9273,0.60275,1.13955,0.74969,0.92712,0.00130393,0.00130393,0.00130393
46,1901.95,1.08851,0.70322,0.8913,0.90986,0.8781,0.90646,0.59319,1.12779,0.7659,0.919,0.00129568,0.00129568,0.00129568
47,1943.64,1.10427,0.71563,0.90197,0.91868,0.92052,0.93574,0.62407,1.05999,0.72965,0.89708,0.00128742,0.00128742,0.00128742
48,1985.89,1.11028,0.71296,0.90105,0.91212,0.89947,0.93117,0.61344,1.1202,0.75645,0.91618,0.00127917,0.00127917,0.00127917
49,2029.36,1.07985,0.70803,0.88854,0.91475,0.9172,0.93358,0.61537,1.08441,0.72056,0.90769,0.00127092,0.00127092,0.00127092
50,2072.73,1.08352,0.69915,0.90158,0.9126,0.908,0.92635,0.60424,1.13569,0.73812,0.91085,0.00126267,0.00126267,0.00126267
51,2110.51,1.09171,0.68909,0.89526,0.88454,0.92371,0.92195,0.6156,1.07779,0.72245,0.9027,0.00125442,0.00125442,0.00125442
52,2152.45,1.07628,0.70424,0.89257,0.91288,0.92038,0.93065,0.62046,1.05791,0.72088,0.9002,0.00124617,0.00124617,0.00124617
53,2194.08,1.07345,0.69479,0.89239,0.89923,0.91951,0.92884,0.62399,1.10197,0.71544,0.91116,0.00123791,0.00123791,0.00123791
54,2242.64,1.05805,0.69904,0.89065,0.91707,0.91698,0.93319,0.62368,1.07323,0.72014,0.90224,0.00122966,0.00122966,0.00122966
55,2280.61,1.07831,0.6925,0.89548,0.88128,0.89655,0.91079,0.60416,1.08781,0.73304,0.90797,0.00122141,0.00122141,0.00122141
56,2322.41,1.07398,0.67329,0.89062,0.90326,0.92616,0.9217,0.62126,1.06009,0.70404,0.89775,0.00121316,0.00121316,0.00121316
57,2365.39,1.0597,0.68343,0.8904,0.90681,0.92013,0.9195,0.60643,1.07538,0.725,0.89986,0.00120491,0.00120491,0.00120491
58,2407.57,1.06478,0.68,0.88805,0.91371,0.90678,0.92057,0.61629,1.07691,0.73005,0.90172,0.00119666,0.00119666,0.00119666
59,2450.58,1.06951,0.70201,0.8891,0.92435,0.91891,0.94769,0.6328,1.06397,0.68965,0.89763,0.0011884,0.0011884,0.0011884
60,2488.17,1.07536,0.69379,0.88794,0.90816,0.91081,0.93474,0.61349,1.08754,0.71451,0.9004,0.00118015,0.00118015,0.00118015
61,2530.69,1.06222,0.67961,0.89529,0.90867,0.92193,0.92057,0.61949,1.06079,0.7201,0.89979,0.0011719,0.0011719,0.0011719
62,2572.8,1.04655,0.65805,0.88601,0.91936,0.92808,0.93812,0.62745,1.0691,0.70673,0.89908,0.00116365,0.00116365,0.00116365
63,2615.03,1.05586,0.68504,0.89139,0.89001,0.91199,0.93318,0.62856,1.04986,0.71148,0.8918,0.0011554,0.0011554,0.0011554
64,2658.01,1.02455,0.67003,0.88026,0.9161,0.91643,0.93242,0.63571,1.05477,0.70147,0.89679,0.00114715,0.00114715,0.00114715
65,2695.28,1.05121,0.66243,0.88316,0.92978,0.92648,0.93966,0.62858,1.08019,0.70043,0.90053,0.00113889,0.00113889,0.00113889
66,2737.83,1.03586,0.66276,0.88319,0.91701,0.92124,0.92022,0.62197,1.04988,0.70631,0.8904,0.00113064,0.00113064,0.00113064
67,2780.01,1.05019,0.68252,0.88987,0.90912,0.92715,0.92614,0.62401,1.06501,0.70509,0.90072,0.00112239,0.00112239,0.00112239
68,2824.68,1.02723,0.65853,0.88161,0.91513,0.93683,0.93235,0.62916,1.0507,0.68636,0.89382,0.00111414,0.00111414,0.00111414
69,2866.95,1.0466,0.67593,0.88832,0.9273,0.92574,0.92982,0.62535,1.07049,0.69666,0.90107,0.00110589,0.00110589,0.00110589
